species,decimalLatitude,decimalLongitude,eventDate,geometry
Trichorhina tomentosa,27.12385,-81.36607,1850,POINT (-81.36607 27.12385)
Trichorhina tomentosa,-21.13317,55.53241,,POINT (55.53241 -21.13317)
Trichorhina tomentosa,16.19759,-61.53977,,POINT (-61.53977 16.19759)
Trichorhina tomentosa,57.705745,11.976153,2022-08-31T10:11:01,POINT (11.976153 57.705745)
Trichorhina tomentosa,16.19759,-61.53977,,POINT (-61.53977 16.19759)
Trichorhina tomentosa,50.92514,4.33023,2022-05-21,POINT (4.33023 50.92514)
Trichorhina tomentosa,32.292608,-64.787198,2022-04-05T10:55,POINT (-64.787198 32.292608)
Trichorhina tomentosa,32.262312,-64.866541,2022-04-01T16:06,POINT (-64.866541 32.262312)
Trichorhina tomentosa,32.262312,-64.866541,2022-04-01T15:58,POINT (-64.866541 32.262312)
Trichorhina tomentosa,56.456999,10.031892,2022-03-17T12:00,POINT (10.031892 56.456999)
Trichorhina tomentosa,48.85662,2.34293,1896-01-01/1896-12-31,POINT (2.34293 48.85662)
Trichorhina tomentosa,48.85662,2.34293,1899-01-01/1899-12-31,POINT (2.34293 48.85662)
Trichorhina tomentosa,10.763,-85.334,2020-07-02,POINT (-85.334 10.763)
Trichorhina tomentosa,-10.721333,165.928517,,POINT (165.928517 -10.721333)
Trichorhina tomentosa,-19.0845,-169.829467,,POINT (-169.829467 -19.0845)
Trichorhina tomentosa,-18.151717,178.434767,1996-05-11,POINT (178.434767 -18.151717)
Trichorhina tomentosa,-18.15,177.5,1996-05-06,POINT (177.5 -18.15)
Trichorhina tomentosa,-21.226183,-159.778133,,POINT (-159.778133 -21.226183)
Trichorhina tomentosa,51.046138,3.73501,1972-10-07,POINT (3.73501 51.046138)
Trichorhina tomentosa,51.05,3.733333,1972-07-10,POINT (3.733333 51.05)
Trichorhina tomentosa,51.046138,3.73501,1972-10-07,POINT (3.73501 51.046138)
Trichorhina tomentosa,-1.2975,-90.434167,1964-12/1965-01,POINT (-90.434167 -1.2975)
Trichorhina tomentosa,51.21463,4.42507,2020-02-05,POINT (4.42507 51.21463)
Trichorhina tomentosa,57.70561,11.97579,2019-12-09,POINT (11.97579 57.70561)
Trichorhina tomentosa,52.516667,13.4,,POINT (13.4 52.516667)
Trichorhina tomentosa,48.85662,2.34293,1899-01-01/1899-12-31,POINT (2.34293 48.85662)
Trichorhina tomentosa,48.85662,2.34293,1896-01-01/1896-12-31,POINT (2.34293 48.85662)
Trichorhina tomentosa,47.19187,-0.30771,2008-01-09,POINT (-0.30771 47.19187)
Trichorhina tomentosa,16.21179,-61.46535,2014-08-16/2014-08-29,POINT (-61.46535 16.21179)
Trichorhina tomentosa,47.19187,-0.30771,2008-06-20,POINT (-0.30771 47.19187)
Trichorhina tomentosa,47.19187,-0.30771,2008-01-09,POINT (-0.30771 47.19187)
Trichorhina tomentosa,-11.524631,-54.355206,,POINT (-54.355206 -11.524631)
Trichorhina tomentosa,-11.524631,-54.355206,,POINT (-54.355206 -11.524631)
Trichorhina tomentosa,57.70555,11.9757,2018-11-10,POINT (11.9757 57.70555)
Trichorhina tomentosa,51.03463,3.72286,2017-03-17,POINT (3.72286 51.03463)
Trichorhina tomentosa,51.03463,3.72286,2017-03-17,POINT (3.72286 51.03463)
Trichorhina tomentosa,59.87039,17.6235,2018-10-19T09:20/2018-10-19T10:20,POINT (17.6235 59.87039)
Trichorhina tomentosa,57.69555,11.98936,2018-10-12T10:00/2018-10-12T11:00,POINT (11.98936 57.69555)
