LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169276	3423	Moss: capsule with peristome or not	7248	Bryophyte: capsule with peristome or not	capsule_peris	with peristome											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169277	764	Moss and fern spore width	1684	Fern  and moss spore width (diameter)	spores	22	micro m	Mean									Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169278	3425	Moss: fruiting frequency	7250	Bryophyte: Fruiting frequency	fruit_freq	common											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169279	3426	Moss: fruiting season	7251	Bryophyte: Fruiting season	fruit_seas	spring											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169280	3427	Moss: vegetative regeneration	7252	Bryophyte: Vegetative regeneration: tubers	veg_tub	ocurring											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169281	3427	Moss: vegetative regeneration	7253	Bryophyte: Vegetative regeneration: gemmae	veg_gem	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169282	3427	Moss: vegetative regeneration	7254	Bryophyte: Vegetative regeneration: bulbils	veg_bulb	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169283	3427	Moss: vegetative regeneration	7255	Bryophyte: Vegetative regeneration: branches	veg_bran	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169284	3427	Moss: vegetative regeneration	7256	Bryophyte: Vegetative regeneration:  leaves	veg_leav	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169259	1134	Species environmental indicator value according to Ellenberg: pH 	2078	Ellenberg indicator value: pH (reaction)	ind_R	7	dimensionless	Single				7	dimensionless			0.483178	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
